OBJECT_ID	SA2022	Factor
B18081	A037016001	0.8377
B15260	A037017001	0.8086
B17745	A037019001	0.8458
B17959	A037018001/37041001	0.8777
B17496	A037020001	0.8718
B18074	A037022001	0.8582
B17666	A037023001	0.8256
B17657	A037024001	0.7951
B18502	A037024002	0.7926
B17785	A037025001	0.8674
B07809	A037026004	1.0959
B07804	A037026003	1.0025
B07805	A037026006	0.9118
B07806	A037026005	0.8918
B07908	A037026008	0.782
B07907	A037026001	0.7574
B07909	A037026012	0.7421
B07801	A037026007	0.868
B07803	A037026010	0.8589
B07802	A037026002	0.8522
B07807	A037026011	0.8519
B07808	A037026009	0.7874
B12992	A037027024	1.0236
B12984	A037027026	1.0224
B12982	A037027027	0.9922
B12985	A037027029	0.9362
B12990	A037027033	0.9318
B12958	A037027032	0.9305
B12988	A037027016	0.93
B12974	A037027017	0.9297
B12991	A037027030	0.9278
B12983	A037027015	0.9271
B12957	A037027006	0.9271
B12989	A037027021	0.9254
B12986	A037027031	0.9247
B12971	A037027020	0.9224
B12960	A037027037	0.9197
B12979	A037027036	0.918
B12961	A037027018	0.916
B12975	A037027022	0.9147
B12968	A037027023	0.9144
B12959	A037027014	0.9104
B12964	A037027028	0.9073
B12963	A037027038	0.9055
B12977	A037027019	0.8978
B13020	A037027001	0.8827
B13021	A037027002	0.7983
B12969	A037027010	0.8969
B12967	A037027025	0.8968
B12976	A037027011	0.8961
B12978	A037027007	0.8961
B12987	A037027013	0.8939
B12962	A037027012	0.889
B12980	A037027035	0.8814
B12981	A037027034	0.8798
B12970	A037027004	0.8789
B12966	A037027003	0.8771
B12965	A037027005	0.8765
B12972	A037027009	0.8743
B12973	A037027008	0.8052
B18069	A037028001	0.841
B15240	A037029001	0.7978
B15241	A037029002	0.7792
B18851	A037030001	0.8121
B15248	A037030002	0.8256
B17432	A037031001	0.9363
B17431	A037031003	1.0672
B17430	A037031002	0.8829
B17651	A037032001	0.84
B17941	A037033002	0.918
B17938	A037033001	0.8485
B17204	A037035001	0.7968
B17918	A037034001	0.8975
B17659	A037035002	0.8101
B17656	A037036001	0.8099
B17958	A037037001	0.8864
B17582	A037038001	0.8622
B17665	A037039001	0.8874
B17942	A037040001	0.8361
B17428	A037040002	0.8534
B18635	A037042003	1.0681
B18636	A037042004/02	0.8957
B18637	A037042006	0.741
B10895	A037042002	0.8845
B10894	A037042004/01/037042005	0.8115
B10893	A037042001	0.8561
B10889	A037043003/01	0.7776
B10891	A037043003/02	0.7598
B17429	A037044001	0.8428
B17944	A037044002	0.8659
B10883	A037045003	0.7843
B10884	A037045004	0.7746
B10896	A037045001	0.7952
B10897	A037045002	0.8257
B17658	A037046001	0.8107
B18070	A037047001	0.8856
B18083	A037048001	0.8845
B10579	A037049003/037049004	0.9251
B09619	A037049001/037049002	0.8342
B07905	A037050001	0.8127
B07904	A037050002	0.7839
B07903	A037050003	0.7853
B07906	A037050006	0.7787
B07792	A037050005	0.8365
B07791	A037050004	0.8213
B13006	A037051003	0.8793
B13033	A037051002/037051001	0.8036
B17427	A037052002	0.9139
B17943	A037052001	0.8849
B12953	A037053003/01	0.8049
B13016	A037053003/02/037053002	0.8046
B13017	A037053001	0.7973
B18638	A037054003	0.92
B13028	A037054002	0.8819
B13027	A037054001	0.8449
B17654	A037055001	0.8398
B17939	A037056001	0.8441
B07836	A037154002	1.235
B07835	A037154003	1.234
B07831	A037154007	0.9045
B07832	A037154001	0.896
B07837	A037154005	0.8821
B07833	A037154004	0.8801
B07834	A037154006	0.8607
B07825	A037058008	1.346
B07827	A037058002	1.2356
B07824	A037058007	1.166
B07823	A037058010	1.1626
B07826	A037058003	1.0382
B07821	A037058011	1.0009
B07822	A037058004/037058005	0.8901
B07828	A037058006	0.8895
B07819	A037058001	0.8893
B07820	A037058009	0.8758
B07830	A037155001	0.8973
B07798	A037156003	1.1626
B07800	A037156007	1.034
B07799	A037156001	0.9981
B07794	A037156004	0.9675
B07795	A037156002	0.8839
B07796	A037156006	0.8732
B07793	A037156008	0.8683
B07797	A037156005	0.8601
B07886	A037057030	1.1631
B07873	A037057029	1.0365
B07864	A037057036	1.0341
B07859	A037057055	0.9694
B07898	A037057017	0.9676
B07865	A037057037	0.9092
B07879	A037057046	0.9052
B07884	A037057026	0.8984
B07862	A037057034	0.894
B07885	A037057062	0.8932
B07843	A037057020	0.889
B07872	A037057067	0.8879
B07890	A037057033	0.8868
B07850	A037057032	0.8846
B07845	A037057003	0.8836
B18867	A037057022	0.8811
B07896	A037057038	0.881
B07842	A037057049	0.8808
B07883	A037057035	0.8802
B07863	A037057013	0.8795
B07844	A037057027	0.8782
B07839	A037057060	0.8768
B07871	A037057014	0.8752
B07889	A037057042	0.8751
B07923	A037057025	0.9009
B07922	A037057068/037057069/037057070	0.8331
B07855	A037057061	0.8732
B07882	A037057039	0.8729
B07897	A037057019	0.8726
B07869	A037057024	0.8702
B07874	A037057018	0.8698
B07888	A037057043	0.8696
B07867	A037057063	0.869
B07891	A037057031	0.8668
B07866	A037057040	0.8663
B07857	A037057001/037057002	0.8643
B07881	A037057004	0.8643
B07877	A037057041	0.8637
B07880	A037057048	0.8621
B07893	A037057009	0.8609
B07851	A037057010	0.8605
B07840	A037057058	0.8598
B07856	A037057012	0.8584
B07875	A037057050	0.8573
B07900	A037057069/01	0.8569
B07860	A037057006	0.8563
B07852	A037057007	0.856
B07849	A037057015	0.8557
B07876	A037057053	0.8552
B07858	A037057052	0.8551
B07895	A037057016	0.8551
B07841	A037057005	0.8539
B18592	A037057044	0.8518
B08607	A037057054	0.851
B07894	A037057011	0.8389
B18589	A037057072	0.8386
B07846	A037057028	0.8384
B18590	A037057065	0.8378
B18591	A037057069/02	0.8362
B07878	A037057045	0.8362
B07868	A037057023	0.8247
B07870	A037057047	0.8241
B07848	A037057059	0.8236
B07847	A037057064	0.8231
B07899	A037057021	0.8198
B07854	A037057051	0.8084
B07892	A037057057	0.8084
B07838	A037057008	0.8067
B07887	A037057071	0.7887
B07861	A037057066	0.788
B07853	A037057056	0.7875
B07814	A037059012	0.8903
B07812	A037059011	0.8909
B07813	A037059014	0.8891
B07810	A037059013/037059015	0.8517
B07815	A037059004/037059006	0.8632
B07913	A037059007/037059009	0.8395
B07811	A037059005/037059008	0.7905
B07911	A037059001	0.8925
B07912	A037059002	0.9259
B07910	A037059010/037059003	0.8458
B17662	A037060001	0.786
B17957	A037061001	0.8397
B15263	A037062001	0.9067
B17649	A037063001	0.8398
B18082	A037064001	0.8168
B18073	A037065001/037065002	0.8533
B15790	A037066001	0.8954
B17746	A037066002	0.8892
B15267	A037068001/037069001	0.8656
B16417	A037070001	1.202
B17816	A037070002/037070003	0.8619
B17751	A037071002	0.8423
B17583	A037071001	0.8113
B15793	A037072001	0.8138
B18472	A037072003	0.7884
B18474	A037072002	0.7976
B15253	A037073001/037073003/037073004	0.9225
B15252	A037073002	0.909
B05000	A037075002	0.9066
B05097	A037075001	0.8436
B17747	A037076002	0.8665
B15789	A037076001	0.8387
B05095	A037077009	1.2496
B04997	A037077008/037077014/037077005	0.9133
B04999	A037077007	0.9349
B04998	A037077013/037077010/037077011/037077012	0.9043
B05094	A037077004/037077006/037077001/037077002/037077003	0.9004
B07251	A037078004	1.2045
B07252	A037078003	0.8484
B04983	A037078002	0.8452
B05089	A037078001	0.827
B04982	A037079002	0.8808
B05088	A037079003	0.8435
B05087	A037079004	0.8534
B05086	A037079001	0.8478
B04979	A037080004	0.9809
B04976	A037080005	0.9072
B04977	A037080008	0.9078
B04978	A037080003	0.88
B18639	A037080006/037080007	0.8657
B04980	A037080009	0.8802
B18640	A037080010	0.8751
B05082	A037080002	0.7798
B05083	A037080001	0.7739
B18085	A037081001	0.8751
B07281	A037082004	0.8117
B06459	A037082001	0.8169
B06737	A037082003	0.8385
B06428	A037082002	0.8638
B15247	A037083001/037083002	0.9037
B15246	A037083003	0.9233
B15834	A037084002	0.8628
B15835	A037084001	0.8425
B15836	A037086003	0.9033
B18220	A037086001/037086002	0.8487
B17669	A037086004	0.8476
B15928	A037086005	0.8596
B17933	A037087002	0.8589
B17937	A037087001	0.8467
B17784	A037088001	0.8057
B17833	A037089001	0.9951
B17195	A037089002	0.916
B17663	A037090001	0.8265
B18471	A037091001	0.8235
B18473	A037091002	0.7835
B17664	A037092001	0.8546
B17203	A037092002	0.8434
B07285	A037093002	1.1356
B07286	A037093003	0.889
B05098	A037093001	0.8427
B13013	A037095004	1.0691
B17743	A037094001	0.8464
B13012	A037095003	0.8703
B13011	A037095001	0.8856
B13010	A037095006	0.8375
B15239	A037095002/037095005	0.8698
B15266	A037096002	0.8051
B15265	A037096001	0.7975
B15264	A037096003	0.7818
B15242	A037097002	0.7794
B15243	A037097001	0.7754
B15251	A037098003	0.8863
B15249	A037098002	0.8064
B15250	A037098001	0.8329
B07296	A037099013	1.5589
B05007	A037099012	1.4478
B05009	A037099014	1.3789
B05008	A037099011	1.3076
B05003	A037099009	1.1544
B07297	A037099004	1.1544
B07298	A037099005/037099010	1.1199
B07295	A037099003	1.1187
B05002	A037099007	1.038
B05006	A037099008	1.0154
B05005	A037099006	1.0003
B05004	A037099002	0.8868
B05001	A037099001	0.9889
B04984	A037100002/01	0.8131
B05091	A037100002/02	0.7922
B05090	A037100001	0.8071
B17921	A037101001	0.8586
B15255	A037102001	0.8034
B17492	A037104001	0.903
B17653	A037105001	0.8591
B17742	A037106001	0.8985
B17648	A037107002	0.8959
B15792	A037107001	0.9124
B17940	A037108001	0.8807
B17202	A037109001	0.7879
B17205	A037110001	0.8217
B09604	A037111003/037111004	0.8508
B09612	A037111001/037111002	0.8626
B18850	A037112001	0.8214
B15256	A037112002	0.8286
B09603	A037113001	0.886
B10540	A037113003	0.9271
B09611	A037113002	0.9228
B15791	A037114001	0.812
B17753	A037114002	0.801
B18084	A037115001	0.8517
B15254	A037116001	0.8979
B17652	A037117001	0.8393
B09606	A037118010	1.2092
B09605	A037118002	0.9171
B09616	A037118009	0.8288
B09617	A037118011/037118007	0.8463
B09607	A037118006/037118008	0.7943
B09613	A037118003/037118004	0.8925
B09614	A037118005	0.8882
B09615	A037118001	0.8387
B18071	A037119001	0.8996
B12950	A037120005	0.9009
B12952	A037120003	0.8985
B13015	A037120001	0.777
B13014	A037120002	0.7574
B12951	A037120004	0.7738
B09608	A037121003	0.779
B09618	A037121001/037121002	0.876
B17412	A037122001/037122002	0.9099
B17402	A037151001	0.8943
